
 INFO Server running on [http://127.0.0.1:8000]. 

 Press Ctrl+C to stop the server

 2026-05-18 15:33:50 .. ~ 512.65ms
 2026-05-18 15:34:00 .. ~ 0.43ms
 2026-05-18 15:34:00 .. ~ 500.71ms
 2026-05-18 15:34:01 .. ~ 514.28ms
 2026-05-18 15:34:01 .. ~ 512.09ms
 2026-05-18 15:34:02 .. ~ 503.57ms
 2026-05-18 15:34:02 .. ~ 1s
 2026-05-18 15:34:04 .. ~ 502.15ms
 2026-05-18 15:34:05 .. ~ 514.65ms
 2026-05-18 15:34:06 .. ~ 501.92ms
 2026-05-18 15:34:06 .. ~ 1s
 2026-05-18 15:34:08 .. ~ 502.64ms
 2026-05-18 15:34:08 .. ~ 510.01ms
 2026-05-18 15:30:15 .. ~ 6m 28s
 2026-05-18 15:36:44 .. ~ 512.64ms
 2026-05-18 15:36:45 .. ~ 512.79ms
 2026-05-18 15:36:45 .. ~ 1s
 2026-05-18 15:36:45 .. ~ 1s
 2026-05-18 15:36:46 .. ~ 1s
 2026-05-18 15:36:48 .. ~ 506.71ms
 2026-05-18 15:36:56 .. ~ 512.11ms
 2026-05-18 15:36:48 .. ~ 9s
 2026-05-18 15:36:57 .. ~ 1s
 2026-05-18 15:36:57 .. ~ 1s
 2026-05-18 15:36:58 .. ~ 500.99ms
 2026-05-18 15:36:59 .. ~ 506.81ms
 2026-05-18 15:38:11 .. ~ 1s
 2026-05-18 15:36:59 .. ~ 1m 13s
 2026-05-18 15:38:12 .. ~ 1s
 2026-05-18 15:38:12 .. ~ 1s
 2026-05-18 15:38:12 .. ~ 2s
 2026-05-18 15:38:13 .. ~ 1s
 2026-05-18 15:38:15 .. ~ 4.80ms
 2026-05-18 15:38:57 .. ~ 515.25ms
 2026-05-18 15:38:58 .. ~ 512.16ms
 2026-05-18 15:38:57 .. ~ 1s
 2026-05-18 15:38:58 .. ~ 1s
 2026-05-18 15:38:58 .. ~ 1s
 2026-05-18 15:39:00 .. ~ 0.29ms
 2026-05-18 15:40:07 .. ~ 503.76ms
 2026-05-18 15:40:08 .. ~ 45s
 2026-05-18 15:40:54 .. ~ 0.90ms
 2026-05-18 15:40:54 .. ~ 515.22ms
 2026-05-18 15:40:54 .. ~ 1s
 2026-05-18 15:40:55 .. ~ 503.50ms
 2026-05-18 15:40:55 .. ~ 504.75ms
 2026-05-18 15:40:56 .. ~ 506.16ms
 2026-05-18 15:41:06 .. ~ 502.32ms
 2026-05-18 15:41:06 .. ~ 511.08ms
 2026-05-18 15:41:07 .. ~ 0.41ms
 2026-05-18 15:41:07 .. ~ 3s
 2026-05-18 15:41:10 .. ~ 503.04ms
 2026-05-18 15:41:11 .. ~ 2s
 2026-05-18 15:41:14 .. ~ 1.33ms
 2026-05-18 15:41:14 .. ~ 500.03ms
 2026-05-18 15:41:15 .. ~ 513.30ms
